income_stability,spending_consistency,savings_ratio,transaction_frequency,avg_monthly_income,avg_monthly_spending,defaulted
0.1582,0.0658,0.2725,16.81,30503.11,23200.08,0
0.01,0.3606,0.3841,26.26,41986.01,22835.1,0
0.0398,0.5203,0.2596,18.44,24022.75,17799.47,0
0.0378,0.7048,0.2172,10.86,21108.97,16015.28,1
0.5521,0.213,0.4603,21.69,36025.2,19984.7,0
0.5091,0.192,0.3249,16.6,29064.8,18658.79,1
0.2551,0.3388,0.3493,20.23,39546.15,27969.07,1
0.3485,0.0851,0.2696,17.42,24171.86,17498.23,0
0.1502,0.5584,0.3881,19.52,29835.05,20373.84,0
0.0971,0.5237,0.123,10.65,18164.88,14834.57,0
0.2796,0.604,0.3016,19.8,30815.88,20123.61,0
0.0153,0.1263,0.2898,13.52,27134.81,18455.03,0
0.1009,0.4475,0.1211,7.7,22009.77,19137.56,0
0.308,0.591,0.2702,14.19,26165.39,18411.87,0
0.3998,0.2774,0.1029,7.51,13705.37,12966.33,1
0.01,0.0591,0.3696,15.74,23971.89,15724.27,0
0.1548,0.2251,0.3926,20.71,33654.94,18979.14,0
0.4527,0.1973,0.3665,27.79,33219.74,19960.52,0
0.0825,0.218,0.4669,20.6,27555.23,14683.6,0
0.3346,0.2424,0.3214,13.16,21532.27,15027.06,0
0.7477,0.3001,0.2672,15.87,23443.63,16378.42,1
0.2731,0.2688,0.1747,10.51,14863.58,12729.83,0
0.01,0.4624,0.202,16.18,27181.47,22098.02,0
0.1473,0.5362,0.3206,17.8,27031.76,16660.17,0
0.0723,0.1636,0.4325,23.23,37462.01,23179.41,0
0.6338,0.2004,0.3276,19.41,28110.74,19828.8,0
0.6301,0.1708,0.2015,12.28,20555.68,16797.37,0
0.6177,0.0788,0.2816,18.41,31752.95,23648.32,0
0.4787,0.2227,0.3989,15.53,25664.63,14428.93,0
0.1977,0.5158,0.4654,20.15,38093.03,22396.99,0
0.2835,0.2364,0.3369,14.11,26483.7,18686.77,0
0.2106,0.4469,0.3568,17.61,22640.46,13664.18,0
0.5707,0.2031,0.2924,18.01,19644.58,16039.4,0
0.0659,0.2315,0.292,16.31,21782.47,16314.02,0
0.388,0.2808,0.3588,16.12,24851.78,14572.96,0
0.5016,0.1896,0.3856,19.68,32726.9,19646.5,0
0.6128,0.4697,0.1598,8.75,12733.02,11116.72,1
0.3586,0.6609,0.207,16.52,25627.11,20431.9,0
0.1159,0.3917,0.2773,21.6,22944.38,18253.04,0
0.1893,0.0955,0.5365,28.42,34213.96,14294.42,0
0.0631,0.0691,0.4148,20.06,36380.69,20405.06,0
0.3758,0.4087,0.1598,14.84,23677.9,19698.75,1
0.0723,0.0925,0.4809,23.96,34328.44,18552.04,0
0.0696,0.1942,0.195,20.98,25041.93,19815.31,0
0.0893,0.1841,0.524,22.05,36138.44,17378.53,0
0.0242,0.1531,0.4616,26.89,37384.11,21361.3,0
0.0771,0.4027,0.5,25.12,36605.51,18385.54,0
0.5313,0.1206,0.3281,15.0,24689.8,15526.13,0
0.1916,0.2489,0.3918,25.76,35505.23,19075.95,0
0.429,0.2891,0.3425,16.0,22993.59,13690.44,0
0.4194,0.207,0.42,21.6,38329.25,21302.86,0
0.284,0.4625,0.3592,20.4,24458.44,14655.14,0
0.1737,0.529,0.337,18.78,29677.16,20190.98,0
0.2091,0.1513,0.2985,12.02,17859.56,11348.2,0
0.2922,0.0579,0.5037,26.02,37406.14,18006.11,0
0.4331,0.4414,0.3954,19.87,29586.98,19953.12,0
0.3713,0.1253,0.376,19.63,30287.26,24116.82,0
0.2915,0.5872,0.2833,13.52,27670.29,19380.14,0
0.1963,0.4359,0.1619,4.32,11994.1,10477.29,1
0.0517,0.1511,0.5505,22.96,36945.58,17013.35,0
0.1579,0.1538,0.1864,11.96,18002.48,14039.61,0
0.166,0.1588,0.3202,21.91,31004.21,21387.9,0
0.1252,0.0684,0.5493,24.02,33137.99,16800.56,0
0.08,0.0563,0.3843,16.92,28605.98,16966.43,0
0.13,0.2776,0.2666,9.76,16263.25,12173.51,0
0.4162,0.2886,0.1763,10.78,21482.24,15925.2,0
0.4007,0.1889,0.3493,16.07,28162.23,18965.18,0
0.1978,0.1945,0.326,18.45,27039.17,19648.12,0
0.2396,0.2268,0.0578,6.28,11691.74,10620.99,0
0.0841,0.226,0.3253,15.74,29078.58,19363.46,0
0.4673,0.2957,0.1901,7.75,18950.1,15412.84,0
0.0323,0.315,0.2029,12.14,20306.93,16289.99,0
0.0238,0.1018,0.3408,19.88,29262.71,18514.72,0
0.1859,0.3484,0.2404,8.86,13196.92,11209.59,0
0.425,0.6774,0.1375,10.55,15768.08,12999.27,0
0.1111,0.1241,0.2553,12.32,16962.72,12476.29,0
0.1366,0.4083,0.2532,20.07,27633.61,19841.36,0
0.2084,0.3161,0.353,16.89,23715.97,15255.71,0
0.2803,0.2533,0.1954,8.08,21877.52,18780.26,0
0.1293,0.2969,0.2579,19.55,30454.52,21872.42,0
0.0165,0.4098,0.3067,19.36,29811.52,18485.22,0
0.1765,0.3513,0.2669,12.22,22661.63,15960.34,0
0.2991,0.83,0.3587,20.65,28591.07,19056.41,0
0.0991,0.0391,0.5129,26.37,36706.16,15273.84,0
0.7537,0.5813,0.23,9.11,14289.7,11541.48,0
0.2929,0.1389,0.459,20.0,40058.93,21927.74,0
0.114,0.2695,0.5177,26.89,42759.17,24195.0,0
0.2838,0.2598,0.256,11.51,23711.96,17094.49,0
0.3739,0.708,0.2502,10.5,22454.07,14452.56,0
0.01,0.057,0.4407,25.51,40143.19,23622.58,0
0.282,0.9262,0.1694,9.9,20746.98,15838.74,0
0.1561,0.0761,0.2536,13.46,18439.13,13340.3,0
0.2805,0.4192,0.2531,14.28,25029.53,20400.55,0
0.3316,0.0423,0.4207,24.32,39913.05,22568.96,0
0.4859,0.3957,0.1129,13.32,19834.18,17750.87,0
0.1808,0.6667,0.0334,13.54,16894.33,16718.98,1
0.7646,0.3702,0.2978,16.88,20547.26,15056.33,0
0.2037,0.3793,0.5198,23.17,35912.42,17699.94,0
0.1149,0.3678,0.2889,17.18,28805.14,19244.91,0
0.161,0.6189,0.3239,18.37,23072.75,14624.55,0
0.2528,0.1617,0.4503,27.3,43885.65,25699.69,0
0.559,0.5621,0.1803,15.63,25053.64,21529.4,1
0.1227,0.1918,0.4195,15.35,35318.41,21025.73,0
0.3458,0.4034,0.1728,13.72,18970.0,15719.72,0
0.1491,0.1144,0.3061,22.56,27555.86,19374.01,0
0.2926,0.2188,0.5826,26.05,34291.59,9389.62,0
0.28,0.2796,0.2917,17.93,27952.43,17942.5,0
0.3917,0.232,0.2096,17.46,24459.41,19508.21,0
0.6298,0.1847,0.2352,12.68,20105.1,14721.07,0
0.8033,0.1587,0.2319,8.79,21672.57,15751.49,0
0.1657,0.4817,0.2392,7.34,23814.07,16359.53,0
0.3227,0.0805,0.4349,24.53,38005.11,22447.7,0
0.602,0.4029,0.2704,17.26,26603.47,17432.98,0
0.1646,0.7485,0.3017,21.5,27288.24,18019.38,0
0.0721,0.2139,0.4108,20.72,34313.65,18985.55,0
0.5666,0.3628,0.22,11.8,24865.85,21052.12,0
0.0849,0.0735,0.1961,12.66,20470.15,16838.82,0
0.1602,0.1789,0.3101,16.1,21125.36,16258.97,0
0.01,0.0836,0.3177,18.92,28912.5,17374.59,0
0.2604,0.5016,0.3754,16.53,31127.63,18122.61,0
0.6807,0.1142,0.1985,9.33,19661.35,16647.99,0
0.1201,0.3009,0.481,26.13,42999.53,22575.28,0
0.2929,0.0775,0.4018,16.82,34759.11,21612.93,0
0.3655,0.0516,0.2548,11.69,18641.85,15379.53,0
0.0448,0.2343,0.5373,25.74,41971.42,20572.34,0
0.3044,0.1491,0.4486,22.29,33876.72,16876.62,0
0.0497,0.0265,0.4531,24.45,36441.73,19922.71,0
0.3159,0.2006,0.5561,25.49,45494.68,23439.06,0
0.0733,0.059,0.4476,21.48,35682.15,18862.08,0
0.242,0.3532,0.3318,16.14,27805.91,17775.34,0
0.3933,0.2042,0.3869,21.11,36137.02,22339.3,0
0.0173,0.4432,0.4706,25.08,34233.04,18714.65,0
0.9101,0.4806,0.1095,7.06,18486.26,16842.98,1
0.3152,0.1021,0.1972,6.93,14442.39,12732.87,0
0.5255,0.378,0.1251,12.02,19071.71,18433.83,0
0.2357,0.3261,0.4701,20.92,35041.06,17585.97,0
0.2493,0.2746,0.3832,12.21,25905.81,16086.38,0
0.0333,0.1725,0.1814,9.85,16700.1,13306.01,0
0.2584,0.6579,0.3866,13.68,22808.96,14503.35,0
0.1382,0.2924,0.2528,17.82,25092.45,20065.58,0
0.0629,0.0635,0.4232,23.01,32465.08,16941.57,0
0.1577,0.265,0.2129,15.01,23586.06,19358.94,0
0.5207,0.5265,0.34,21.0,29518.7,18938.35,0
0.6417,0.0712,0.3096,20.14,31129.45,20526.7,0
0.01,0.01,0.5009,28.15,40645.21,20565.88,0
0.3502,0.0652,0.3126,14.76,27535.21,18447.72,0
0.242,0.275,0.4263,22.24,37924.59,24474.81,0
0.1736,0.1135,0.3587,23.11,36696.82,23410.69,0
0.4784,0.2786,0.0985,8.62,15991.2,14345.31,1
0.3463,0.2198,0.2555,13.62,17669.66,13588.88,0
0.0729,0.1861,0.5112,24.29,35557.93,15305.47,0
0.2583,0.5614,0.3834,18.69,29248.29,18265.37,0
0.3022,0.2383,0.2761,16.25,27318.26,21661.35,0
0.1338,0.6759,0.0949,11.27,16378.25,14017.72,0
0.2159,0.1068,0.3918,28.11,38656.01,25574.05,0
0.2824,0.2846,0.2792,18.76,31882.13,21913.7,0
0.1079,0.1902,0.0665,7.31,16189.12,15527.13,0
0.3208,0.3271,0.1583,14.29,19217.41,14419.92,0
0.1531,0.1251,0.5232,24.36,36909.42,16544.35,0
0.2552,0.7076,0.0741,9.42,9859.86,9502.38,1
0.6527,0.1054,0.2687,17.73,24059.58,18208.21,0
0.3077,0.1527,0.3352,19.76,30635.42,19484.69,0
0.1449,0.3746,0.3692,25.16,37701.12,24160.68,0
0.2146,0.6147,0.3773,20.86,33267.53,20296.36,0
0.1139,0.1448,0.2914,13.65,21993.49,14325.55,0
0.2351,0.3769,0.3744,20.51,36266.86,21587.65,0
0.0155,0.0652,0.4266,21.56,29249.15,16163.26,0
0.0392,0.0847,0.3977,20.51,31464.07,16645.12,0
0.4697,0.1013,0.2735,25.8,34337.29,24347.11,0
0.3185,0.0999,0.1509,5.93,11608.03,8823.12,0
0.2378,0.2407,0.3702,21.0,31442.88,19191.6,0
0.399,0.1133,0.496,20.44,33147.29,16216.74,0
0.0245,0.2596,0.3098,19.05,31429.35,23628.99,0
0.1401,0.2239,0.3829,16.12,30158.26,19288.74,0
0.1664,0.4786,0.2681,16.76,29870.17,23935.65,0
0.4718,0.4309,0.1999,14.57,18767.65,14553.64,0
0.3143,0.2945,0.3839,19.6,32168.79,19744.25,0
0.6133,0.4897,0.2691,16.5,20916.31,14589.43,1
0.0908,0.5661,0.1042,4.71,13453.84,11738.77,0
0.1849,0.2943,0.4045,20.2,41589.2,22712.79,0
0.2739,0.3046,0.4784,20.17,30840.95,13607.43,0
0.4675,0.1478,0.2958,20.44,34321.35,22388.3,0
0.4802,0.0201,0.2933,17.82,32536.58,21869.72,0
0.2579,0.3176,0.2979,19.2,30967.47,20368.85,0
0.3566,0.2448,0.0833,20.82,29957.31,26997.18,0
0.3594,0.2059,0.1832,12.71,18285.15,16174.63,0
0.1495,0.167,0.3134,16.04,29294.54,18271.88,0
0.146,0.1321,0.127,13.5,18554.17,17853.17,1
0.1157,0.1145,0.2557,18.4,31130.89,21101.48,0
0.1177,0.4612,0.377,11.68,31696.3,19141.58,0
0.0259,0.01,0.4231,24.92,38807.81,21313.34,0
0.3277,0.2141,0.361,19.16,23283.39,14946.75,0
0.5529,0.3441,0.2344,10.96,14114.32,11163.93,0
0.115,0.2066,0.4506,19.23,32013.8,18102.9,0
0.3491,0.2491,0.4614,21.95,32085.79,18256.42,0
0.1818,0.2286,0.5042,21.7,31459.77,15159.17,0
0.151,0.3272,0.2282,12.01,19299.69,14284.85,0
0.1827,0.6239,0.303,17.79,29439.36,19265.37,0
0.4799,0.1314,0.0882,5.07,10311.14,8615.03,0
0.1283,0.9661,0.0885,7.36,14373.89,13482.38,1
0.1215,0.5631,0.391,20.84,32318.41,20465.15,0
0.2,0.6179,0.3619,15.68,20967.12,13171.39,0
0.0911,0.1575,0.4689,24.23,37713.71,14371.67,0
0.1399,0.4791,0.2489,12.59,21716.28,15053.58,0
0.4673,0.0576,0.2178,14.75,26126.37,19645.61,0
0.1212,0.0153,0.4005,18.78,35853.85,21608.1,0
0.1472,0.1837,0.2761,12.5,26934.76,20426.53,0
0.0824,0.5098,0.3456,16.26,24861.84,17006.53,0
0.0297,0.4704,0.2625,16.47,21881.17,14236.95,0
0.0516,0.2856,0.3538,24.61,33776.78,22381.78,0
0.2383,0.7397,0.3006,20.19,27681.06,20646.77,0
0.2098,0.2483,0.2349,10.87,18148.37,12392.24,0
0.2808,0.2479,0.3853,20.77,20694.83,12915.57,0
0.01,0.2962,0.1988,13.65,19504.04,15860.03,0
0.4422,0.2185,0.1423,13.19,20941.03,17564.39,0
0.01,0.0605,0.2932,17.35,29925.65,22075.59,0
0.3642,0.4455,0.2779,11.67,22311.4,16055.13,0
0.8212,0.2226,0.199,10.53,16194.51,13864.46,1
0.1083,0.0692,0.3274,17.56,31488.47,23238.62,0
0.4027,0.4359,0.3068,21.07,27064.34,19308.86,0
0.0908,0.1325,0.2924,14.15,27881.17,18413.15,0
0.3716,0.6387,0.2562,16.79,25814.55,19575.23,0
0.4001,0.4828,0.1711,15.05,24453.09,19995.86,0
0.1924,0.1928,0.481,20.75,40797.32,19763.29,0
0.2502,0.159,0.5367,27.96,36639.61,18039.26,0
0.3645,0.1902,0.4305,18.1,34083.63,18069.22,0
0.0578,0.1175,0.5136,26.85,43668.14,22169.65,0
0.2034,0.162,0.2805,20.38,22792.58,16008.18,0
0.01,0.1105,0.4577,24.18,39729.39,24482.71,0
0.1395,0.7663,0.1358,9.06,12764.77,11576.8,0
0.3685,0.364,0.3312,16.22,38028.53,21841.41,0
0.3693,0.528,0.3486,16.94,27551.37,17109.12,0
0.2781,0.2717,0.1439,6.0,14528.63,13008.43,0
0.6565,0.5192,0.32,16.75,26991.17,17084.49,0
0.0992,0.6152,0.4752,22.46,44148.81,22787.94,0
0.3558,0.4005,0.0768,13.15,18385.36,17780.98,1
0.1716,0.2349,0.3643,22.51,35670.11,22401.53,0
0.2863,0.5543,0.1328,10.2,13624.27,12301.77,0
0.2086,0.5903,0.5343,23.87,37155.93,19298.0,0
0.1566,0.5845,0.3807,14.41,24059.26,15570.13,0
0.5539,0.274,0.2314,14.31,21713.15,16982.59,0
0.2758,0.3813,0.4231,25.15,41383.79,19576.8,0
0.5845,0.1298,0.1596,13.96,18749.75,15454.26,0
0.0654,0.4309,0.3398,19.65,27388.52,17934.24,0
0.4564,0.2534,0.3979,19.57,34871.11,22324.84,0
0.894,0.1818,0.144,7.64,12365.48,11410.39,1
0.2124,0.4032,0.1034,4.75,8710.4,7516.55,0
0.1715,0.064,0.2886,18.5,29934.73,21409.21,0
0.5118,0.1171,0.2548,17.46,27973.1,20874.57,0
0.1484,0.0612,0.2785,13.93,22733.51,18245.15,0
0.3059,0.2419,0.2799,16.07,24131.78,19939.75,0
0.0259,0.5236,0.0526,7.63,13734.78,12677.91,0
0.1599,0.3711,0.2452,10.85,20679.22,14698.66,0
0.0951,0.3468,0.2872,14.24,23924.9,14894.04,0
